City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
14,Bambous Virieux,MU,78.01,-20.3428,57.7575,Casa Tia Villa
36,Rikitea,PF,78.26,-23.1203,-134.9692,Pension Maro'i
61,Orangeburg,US,78.8,33.4918,-80.8557,Palmetto Inn & Suites
64,Lindi,TZ,75.2,-10.0,39.7167,Lindi paradise house
65,Mahebourg,MU,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
77,Bengkulu,ID,75.31,-3.8004,102.2655,Grage Hotel Bengkulu
80,Guapimirim,BR,75.0,-22.5372,-42.9819,Hostel Guapi
83,Padang,ID,75.97,-0.9492,100.3543,Mercure Padang
89,Anito,PH,75.69,12.4497,125.2886,The Yellow House
93,Ariquemes,BR,79.7,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
101,Vila Velha,BR,79.0,-20.3297,-40.2925,Quality Suites Vila Velha
112,Saint-Philippe,RE,77.0,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Monte Santo,BR,78.44,-10.4378,-39.3328,Pousada Pingo D'Água
121,Vanimo,PG,77.34,-2.6741,141.3028,Vahmoneh Lodge Vanimo
128,Kuala Terengganu,MY,78.8,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
130,Morondava,MG,77.76,-20.2833,44.2833,La Case Bambou
154,Howard Springs,AU,78.8,-12.497,131.047,buffalo beach hostel
156,Saquena,PE,78.64,-4.6667,-73.5167,
166,Amapa,BR,75.54,1.0,-52.0,
172,Ibra,OM,76.89,22.6906,58.5334,مزرعة راحة النفوس المنزفة
193,Road Town,VG,75.2,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
209,Mayumba,GA,79.59,-3.432,10.6554,LIKWALE LODGE
221,Gamba,GA,79.41,-2.65,10.0,
222,Hambantota,LK,78.93,6.1241,81.1185,Bungalow 63
226,Souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
229,Mattru,SL,77.65,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
231,Biak,ID,76.1,-0.9131,122.8766,Penginapan Kim
248,Sambava,MG,75.18,-14.2667,50.1667,Melrose
284,Kalmunai,LK,79.21,7.4167,81.8167,VS Villa
294,Cabatuan,PH,77.43,10.8794,122.486,ROREM'S BOARDING HOUSE
297,Merauke,ID,76.46,-8.4667,140.3333,
298,Quelimane,MZ,75.0,-17.8786,36.8883,Hotel Flamingo
310,Balikpapan,ID,77.0,-1.2675,116.8289,ibis Balikpapan
316,Nizwa,OM,79.34,22.9333,57.5333,Orient Apartments
