City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-04-18 16:01:18,22.0752,-159.319,69.8,73,90,6.91
1,Henties Bay,NA,2021-04-18 16:01:18,-22.116,14.2845,85.24,36,96,14.72
2,Tiksi,RU,2021-04-18 16:01:19,71.6872,128.8694,6.48,89,100,12.55
3,Airai,TL,2021-04-18 16:01:19,-8.9266,125.4092,56.93,81,75,2.71
4,Hervey Bay,AU,2021-04-18 16:01:19,-25.2986,152.8535,64.0,85,0,4.0
5,Rikitea,PF,2021-04-18 16:01:20,-23.1203,-134.9692,76.75,74,1,6.62
6,Oswego,US,2021-04-18 16:01:20,43.4501,-76.1497,55.4,54,1,13.8
7,Nikolskoye,RU,2021-04-18 16:01:20,59.7035,30.7861,55.4,30,0,15.66
8,Busselton,AU,2021-04-18 16:01:21,-33.65,115.3333,54.0,91,11,8.81
9,Bredasdorp,ZA,2021-04-18 16:01:21,-34.5322,20.0403,80.6,17,8,12.66
10,Puerto Ayora,EC,2021-04-18 16:01:22,-0.7393,-90.3518,78.8,89,75,9.22
11,Agadez,NE,2021-04-18 16:01:22,19.75,10.25,102.45,3,52,10.58
12,Garowe,SO,2021-04-18 16:01:22,8.4054,48.4845,84.38,43,7,21.97
13,Punta Arenas,CL,2021-04-18 16:01:21,-53.15,-70.9167,48.2,76,0,9.22
14,Vardo,NO,2021-04-18 16:01:23,70.3705,31.1107,41.0,60,0,10.36
15,Conakry,GN,2021-04-18 16:01:23,9.538,-13.6773,87.8,62,20,13.8
16,Ushuaia,AR,2021-04-18 16:00:58,-54.8,-68.3,55.4,50,0,14.97
17,Cape Town,ZA,2021-04-18 15:58:30,-33.9258,18.4232,80.6,26,0,10.36
18,Mataura,NZ,2021-04-18 16:01:24,-46.1927,168.8643,55.0,86,85,14.0
19,Marrakesh,MA,2021-04-18 16:00:56,31.6315,-8.0083,86.0,25,20,5.75
20,Astana,KZ,2021-04-18 15:59:37,51.1801,71.446,53.6,58,40,13.42
21,Yellowknife,CA,2021-04-18 15:56:48,62.456,-114.3525,30.2,80,20,4.61
22,Coquimbo,CL,2021-04-18 15:57:16,-29.9533,-71.3436,57.2,88,90,2.3
23,Bengkulu,ID,2021-04-18 16:01:25,-3.8004,102.2655,75.25,89,76,3.89
24,Bluff,NZ,2021-04-18 16:01:25,-46.6,168.3333,55.0,86,83,14.0
25,Souillac,MU,2021-04-18 16:01:25,-20.5167,57.5167,75.2,94,75,16.11
26,Port Alfred,ZA,2021-04-18 16:01:26,-33.5906,26.891,73.74,63,0,7.18
27,Kozhevnikovo,RU,2021-04-18 16:01:26,56.2589,83.9714,36.77,90,100,10.96
28,Urbano Santos,BR,2021-04-18 16:01:26,-3.2078,-43.4036,82.78,78,95,3.15
29,Norman Wells,CA,2021-04-18 16:01:27,65.282,-126.8329,26.6,86,20,0.92
